r_angstrom,pristine_rdf,Irr._Core_0-15A_rdf,Irr._Shell_15-30A_rdf,Irr._Outer_30-45A_rdf,Irr._Far_45-60A_rdf
2.95,4.678933903302242e-05,0.006505129044360715,0.0036258852029370024,0.0007226631723863762,0.0003331678653377405
3.0,0.000217668800080871,0.008340461018556724,0.00488212050034475,0.0013521942337191806,0.0008166984583418532
3.0500000000000003,0.0006299238520312604,0.009150146929394094,0.005892510698803724,0.002722344386080391,0.00186169788066683
3.1,0.001870779658820586,0.00916693349982106,0.007205112689964864,0.004526655358982952,0.003870853532726096
3.1500000000000004,0.0042126161328502896,0.010820469547523739,0.008728546599888585,0.007523549054758286,0.007033260015995989
3.2,0.008681807813905946,0.013811404569694872,0.010889547762283283,0.012127148223483014,0.011767030735097418
3.25,0.016730453731073392,0.014473028459522395,0.013850286239228099,0.017931006711549402,0.018782960840653562
3.3000000000000003,0.02614325531863448,0.014735452103202065,0.017215373670580663,0.024039982099632335,0.02561660994151564
3.35,0.03538061550983568,0.017490391910651274,0.020803576299715083,0.03126836212805884,0.03349945990653724
3.4000000000000004,0.043526540117971024,0.01904862593612119,0.024665266415343324,0.038823343362826584,0.0417790209723893
3.45,0.04997419664942139,0.021757207013921767,0.029797513638083955,0.04734234956452541,0.05029268339243971
3.5,0.05894801348790113,0.022735485286037752,0.03168663830045716,0.05343197810409951,0.057535280225461574
3.5500000000000003,0.0678764074059584,0.02446536029209439,0.035112855915457125,0.05918534796824456,0.0624078032287048
3.6,0.06946750682629729,0.02588328916120725,0.03592464121813917,0.05879751243819273,0.06312546353895199
3.6500000000000004,0.062453066733339425,0.026606243457066445,0.03548198671469874,0.05324612705834355,0.05635535742262039
3.7,0.04315677126079729,0.026200178563405254,0.033892696285742256,0.04339021511484198,0.044211461655162515
3.75,0.024457648552462036,0.028118921230020164,0.030029055594445325,0.030553753782422238,0.028836942948509255
3.8000000000000003,0.009990969158725495,0.028282032215551603,0.02748254489641769,0.01903272427418283,0.016161798655513603
3.85,0.003637872288889834,0.028072965487196174,0.023848465235885907,0.011166724899864248,0.007751562341593017
3.9000000000000004,0.0008524313988843601,0.028786817790680458,0.02081166165425924,0.006045071558870737,0.0033821575211732224
3.95,0.000240772102064672,0.02917611549670062,0.018377176930849906,0.003109045340279329,0.0012176637152112241
4.0,7.745446961050593e-05,0.02686433322382133,0.01701682278931854,0.0021243380962650813,0.0006073792989272622
4.050000000000001,9.962146304851536e-05,0.02892957552025083,0.01593963467337354,0.0017396062101439286,0.0007488286444298061
4.1,0.0008265558482862864,0.029869668976379025,0.015982897862796323,0.002642990266824615,0.002073187393445675
4.15,0.003149919953817977,0.029775710587064824,0.017238109615071908,0.004961704573162753,0.004580402073623979
4.2,0.0077385002247204885,0.030384005674403008,0.018234436502793255,0.009025823341521435,0.008777144240787843
4.25,0.014328968584548275,0.031074656537680448,0.021550908247984567,0.013603510977629678,0.013436907555085491
4.300000000000001,0.019063905510166863,0.0318302977774826,0.025299620339772674,0.018812138117985055,0.01878967382158552
4.35,0.023464914089547227,0.032279487184618434,0.028145051445178842,0.02442952308322809,0.024117966131160067
4.4,0.027937409508845337,0.0318877499421044,0.03205659796077261,0.029993543974487256,0.028599868829663998
4.45,0.03396264290101433,0.03383051463993031,0.03698918834397839,0.035614635876407036,0.03460490146281699
4.5,0.0408403242483499,0.03214496710054634,0.039778843568807835,0.04185907365978352,0.04111804555145479
4.55,0.048659755414520625,0.03210946892782282,0.041568575668439245,0.04821377775158577,0.04825533917125916
4.6000000000000005,0.05446640195669815,0.03237600510036485,0.042917659061345384,0.0531836458756199,0.053928432725643474
4.65,0.060286860238138555,0.030333402635234437,0.04334216553665828,0.0552064833005867,0.0579541465961297
4.7,0.060794234338041604,0.02847530772820311,0.040888865370560835,0.05411770502671876,0.05770070297830487
4.75,0.0550509644729653,0.026646765755451125,0.038100832869643005,0.04977418851890845,0.05254650307554774
4.8,0.04340404721971313,0.02540538532603275,0.033821113390000705,0.04134039172507245,0.04377005800758682
4.8500000000000005,0.030456585901850533,0.024729810831249532,0.029119723677490668,0.03203585293551044,0.03248739389887069
4.9,0.019436982942569795,0.023821052940605356,0.025028479343385895,0.022668284359592752,0.02239677111886146
4.95,0.010872577266772277,0.02146469127639761,0.021087493795598333,0.01599668961223748,0.014444144814140822
5.0,0.006321207071294482,0.019713958073878584,0.018118090961986345,0.010960829434702748,0.00947180448579711
5.05,0.004376805028176151,0.019046354085182925,0.015713979002970932,0.008884883868835276,0.0071133364936604715
5.1000000000000005,0.005288661040059645,0.017306076417029317,0.014781744242473143,0.008773650016004327,0.007304225701791389
5.15,0.00824698064976514,0.016347759452960593,0.014137714448797807,0.009714770633948211,0.009074717920341034
5.2,0.012340201459779135,0.01608640978764634,0.01308994275331867,0.011604542566565323,0.011473418852112303
5.25,0.016164359593075987,0.015394241911538325,0.012891722210425099,0.014318167625280286,0.014462791001407519
5.300000000000001,0.018012564748674284,0.015542012969985773,0.012677191975214396,0.01557913220449272,0.01628436828679474
5.3500000000000005,0.01787206503944419,0.014279965663055744,0.01276369394188888,0.016305295036292182,0.017252602118366576
5.4,0.01703002909683021,0.014822963784119379,0.012934933481836412,0.01662123633611986,0.016742068445161507
5.45,0.016641276845562956,0.015229131865976029,0.012481474682812426,0.01554442616598648,0.016547113389332038
