site_type,distance_angstrom
FCC,1.397153
FCC,0.782036
FCC,0.823955
FCC,0.299873
FCC,1.39863
FCC,0.953218
FCC,0.670157
FCC,0.994815
FCC,0.970871
FCC,1.211844
FCC,0.544936
FCC,2.048316
FCC,0.462757
FCC,0.585699
FCC,1.029424
FCC,0.921632
FCC,0.79338
FCC,0.760942
FCC,0.605861
FCC,0.785967
FCC,1.444947
FCC,1.187689
FCC,1.815754
FCC,0.981217
FCC,1.114014
FCC,1.611061
FCC,0.618514
FCC,1.373302
FCC,1.046263
FCC,1.376568
FCC,1.027189
FCC,0.262958
FCC,1.094816
FCC,1.419168
FCC,1.683395
FCC,1.473815
FCC,0.782695
FCC,0.768046
FCC,1.236896
FCC,1.672637
FCC,1.513884
FCC,0.94864
FCC,1.164343
FCC,1.307238
FCC,1.333322
FCC,0.849159
FCC,0.877514
FCC,1.298722
FCC,1.687994
FCC,1.032845
FCC,1.832806
FCC,0.935546
FCC,0.9402
FCC,0.623103
FCC,0.517657
FCC,0.342132
FCC,1.339405
FCC,1.454827
FCC,1.096578
FCC,0.710651
FCC,1.371667
FCC,1.516183
FCC,0.962308
FCC,1.488894
FCC,1.202649
FCC,0.952433
FCC,0.573396
FCC,1.075865
FCC,0.820614
FCC,1.700214
FCC,0.345446
FCC,1.433647
FCC,0.739813
FCC,2.144702
FCC,0.990824
FCC,1.208377
FCC,1.55327
FCC,1.40598
FCC,0.647204
FCC,0.686937
FCC,2.122824
FCC,1.814342
FCC,1.178709
FCC,1.466661
FCC,0.787707
FCC,1.574761
FCC,0.964769
FCC,1.790679
FCC,1.886532
FCC,1.391892
FCC,1.788488
FCC,0.919313
FCC,1.442302
FCC,0.580788
FCC,1.766704
FCC,1.289399
FCC,0.790815
FCC,1.726931
FCC,1.631651
FCC,1.371222
FCC,0.759576
FCC,0.83257
FCC,1.613788
FCC,0.969866
FCC,1.410917
FCC,0.825781
FCC,0.86719
FCC,1.222369
FCC,0.557061
FCC,1.601456
FCC,1.284071
FCC,0.978138
FCC,1.370029
FCC,1.44878
FCC,1.459631
FCC,0.970909
FCC,1.685908
FCC,1.144001
FCC,1.108487
FCC,1.859527
FCC,1.976853
FCC,1.623198
FCC,1.228479
FCC,1.718513
FCC,1.397483
FCC,0.654841
FCC,0.296027
FCC,0.681286
FCC,1.041511
FCC,0.682429
FCC,0.819188
FCC,0.708081
FCC,0.450819
FCC,1.102863
FCC,0.825581
FCC,1.30246
FCC,0.761865
FCC,0.664321
FCC,0.292404
FCC,1.204274
FCC,1.45987
FCC,1.074297
FCC,1.487856
FCC,0.732804
FCC,0.457258
FCC,1.448727
FCC,0.864241
FCC,0.805488
FCC,1.597769
FCC,0.39974
FCC,0.781193
FCC,1.23873
FCC,1.958465
FCC,1.324284
FCC,1.68088
FCC,1.003342
FCC,1.472975
FCC,1.248836
FCC,1.334269
FCC,2.011029
FCC,1.64499
FCC,1.625269
FCC,1.576718
FCC,1.336315
FCC,1.375856
FCC,1.499909
FCC,1.232755
FCC,1.618658
FCC,1.685891
FCC,1.848807
FCC,1.54766
FCC,1.163321
FCC,1.497289
FCC,0.723996
FCC,1.1648
FCC,0.787256
FCC,0.704745
FCC,0.392479
FCC,0.778488
FCC,0.922085
FCC,0.906995
FCC,0.676501
FCC,0.684114
FCC,0.134363
FCC,1.778614
FCC,1.934033
FCC,1.187019
FCC,0.680217
FCC,1.563527
FCC,0.63096
FCC,0.95796
FCC,1.903377
FCC,0.859769
FCC,1.256239
FCC,0.929947
FCC,0.874105
FCC,0.94151
FCC,0.757844
FCC,1.342886
FCC,0.752766
FCC,1.389861
FCC,1.689154
FCC,0.67164
FCC,0.941405
FCC,0.646951
FCC,1.424186
FCC,0.700608
FCC,0.652204
FCC,1.050469
FCC,1.206365
FCC,1.437151
FCC,1.871468
FCC,1.535709
FCC,1.488632
FCC,0.706602
FCC,1.479474
FCC,1.918011
FCC,1.520584
FCC,0.710587
FCC,0.620859
FCC,1.657563
FCC,1.347407
FCC,0.963653
FCC,0.475194
FCC,1.079762
FCC,1.017648
FCC,0.53661
FCC,0.77713
FCC,0.761334
FCC,1.238219
FCC,1.153243
FCC,1.05823
FCC,1.26567
FCC,0.964604
FCC,0.790606
FCC,1.376935
FCC,1.043911
FCC,1.704579
FCC,1.238509
FCC,0.476161
FCC,0.26795
FCC,1.502785
FCC,1.058491
FCC,1.41643
FCC,0.207514
FCC,1.249377
FCC,0.96376
FCC,1.638101
FCC,0.818049
FCC,2.092773
FCC,0.686941
FCC,0.470245
FCC,1.022416
FCC,0.652305
FCC,1.084133
FCC,1.522288
FCC,0.383914
FCC,1.019013
FCC,0.513027
FCC,0.791543
FCC,1.416826
FCC,1.476206
FCC,0.645057
FCC,0.72242
FCC,0.917458
FCC,0.891147
FCC,0.974759
FCC,1.946117
FCC,0.57416
FCC,1.267155
FCC,1.181805
FCC,1.446861
FCC,1.287787
FCC,0.892297
FCC,0.613695
FCC,0.327717
FCC,1.113199
FCC,0.800971
FCC,0.682905
FCC,0.793211
FCC,0.90392
FCC,1.336804
FCC,0.847521
FCC,1.306836
FCC,1.839503
FCC,1.310155
FCC,0.50906
FCC,1.598083
FCC,1.248916
FCC,1.402369
FCC,0.822961
FCC,1.272566
FCC,2.241615
FCC,1.581132
FCC,1.368702
FCC,1.086956
FCC,1.14468
FCC,1.549213
FCC,0.795344
FCC,1.368746
FCC,0.808645
FCC,1.609752
FCC,1.98464
FCC,1.968044
FCC,1.360058
FCC,0.747248
FCC,0.736821
FCC,0.629187
FCC,1.076103
FCC,0.62048
FCC,1.022258
FCC,1.01308
FCC,0.960869
FCC,0.709341
FCC,1.070412
FCC,0.9335
FCC,1.068118
FCC,0.489116
FCC,0.937982
FCC,0.841632
FCC,1.854508
FCC,1.413938
FCC,0.651305
FCC,0.6293
FCC,1.638218
FCC,0.934192
FCC,0.960573
FCC,1.161056
FCC,0.28119
FCC,1.334049
FCC,0.746222
FCC,0.642547
FCC,0.880114
FCC,0.818312
FCC,1.355286
FCC,1.160325
FCC,0.995445
FCC,1.070603
FCC,0.923962
FCC,1.169591
FCC,1.648518
FCC,0.604816
FCC,1.990934
FCC,0.957723
FCC,0.764285
FCC,0.890395
FCC,1.004503
FCC,1.314086
FCC,1.085982
FCC,0.64823
FCC,1.951409
FCC,0.800191
FCC,0.640274
FCC,0.683025
FCC,0.697423
FCC,1.320241
FCC,1.4128
FCC,0.394227
FCC,0.615281
FCC,1.67665
FCC,1.270955
FCC,0.782234
FCC,1.052796
FCC,0.732113
FCC,1.215518
FCC,2.02559
FCC,1.041691
FCC,1.534884
FCC,0.50762
FCC,1.108001
FCC,0.761312
FCC,1.657831
FCC,1.979022
FCC,0.937928
FCC,0.564706
FCC,0.802563
FCC,1.131328
FCC,1.037315
FCC,1.421396
FCC,1.878424
FCC,1.24832
FCC,1.053863
FCC,1.346796
FCC,1.782662
FCC,1.683576
FCC,0.235866
FCC,0.844112
FCC,0.73922
FCC,1.547034
FCC,1.227991
FCC,0.983008
FCC,0.888028
FCC,1.887669
FCC,0.442514
FCC,1.367096
FCC,1.165061
FCC,1.386175
FCC,1.733412
FCC,0.794077
FCC,0.953995
FCC,0.714195
FCC,1.303213
FCC,1.018678
FCC,0.81915
FCC,1.261198
FCC,1.377954
FCC,0.908813
FCC,1.022132
FCC,1.549236
FCC,1.802983
FCC,1.122996
FCC,1.118805
FCC,1.8635
FCC,1.287328
FCC,1.606486
FCC,1.286604
FCC,1.971111
FCC,1.49212
FCC,1.335745
FCC,0.51651
FCC,1.767844
FCC,0.769571
FCC,1.034979
FCC,0.699925
FCC,0.664643
FCC,1.758503
FCC,1.106752
FCC,1.215019
FCC,1.33627
FCC,1.426042
FCC,0.822679
FCC,1.866202
FCC,0.734136
FCC,1.346495
FCC,1.258017
FCC,0.783043
FCC,1.105248
FCC,1.557906
FCC,1.296857
FCC,0.980272
FCC,0.808358
FCC,0.608559
FCC,0.876032
FCC,0.908902
FCC,1.87978
FCC,0.837936
FCC,0.896602
FCC,1.334724
FCC,1.407446
FCC,0.829598
FCC,0.703711
FCC,0.878463
FCC,0.871253
FCC,1.715059
FCC,1.324471
FCC,1.392603
FCC,1.05017
FCC,0.712073
FCC,0.977184
FCC,1.201775
FCC,1.867329
FCC,0.388169
FCC,1.292394
FCC,1.286045
FCC,1.374634
FCC,1.495872
FCC,0.786927
FCC,1.251422
FCC,0.562551
FCC,1.282238
FCC,0.697721
FCC,0.878317
FCC,1.592963
FCC,1.709585
FCC,1.70805
FCC,0.634877
FCC,0.717535
FCC,0.897642
FCC,1.830176
FCC,1.508215
FCC,1.059235
FCC,1.320954
FCC,1.124149
FCC,0.407379
FCC,1.021109
FCC,0.746043
FCC,2.098871
FCC,1.351422
FCC,1.592152
FCC,1.751009
FCC,1.565154
FCC,1.270618
FCC,0.809358
FCC,1.511341
FCC,1.458812
FCC,0.7022
FCC,1.567784
FCC,0.961309
FCC,0.498942
FCC,1.52075
FCC,1.791358
FCC,1.545039
FCC,0.679465
FCC,1.485459
FCC,0.958584
FCC,1.543995
FCC,1.242144
FCC,0.47373
FCC,1.080987
FCC,0.758699
FCC,0.593923
FCC,1.088377
FCC,1.624421
FCC,1.143787
FCC,1.232125
FCC,0.360985
FCC,0.917385
FCC,0.982956
FCC,0.625667
FCC,0.653397
FCC,1.217877
FCC,1.018701
FCC,1.86072
FCC,0.529941
FCC,0.916697
FCC,1.111055
FCC,0.851229
FCC,1.930057
FCC,0.931371
FCC,0.732437
FCC,1.638035
FCC,1.392349
FCC,2.006495
FCC,1.601844
FCC,0.415856
FCC,0.310407
FCC,0.314162
FCC,1.720077
FCC,0.555306
FCC,1.594739
FCC,1.665784
FCC,1.919831
FCC,1.184358
FCC,1.748499
FCC,1.321497
FCC,0.891303
FCC,0.891844
