r_angstrom,pristine_rdf,Irr._Core_0-15A_rdf,Irr._Shell_15-30A_rdf,Irr._Outer_30-45A_rdf,Irr._Far_45-60A_rdf
2.65,0.0,0.0015214019968055937,0.0019435961827688716,0.000230337736428773,0.0
2.7,0.0,0.00420869529537036,0.003028574044566656,0.00045856456156772484,1.6896234395377177e-05
2.75,0.0,0.01076090766777072,0.008045803823363078,0.001171598491980869,1.690985492051815e-05
2.8000000000000003,3.169280824977406e-05,0.01513283368102856,0.014699467032110414,0.002744840112338617,0.00025459517412024777
2.85,0.00036731051026958763,0.024190333290139747,0.025241296689595204,0.006763709672527448,0.0018522072798555715
2.9000000000000004,0.002462913827319915,0.037887663406555035,0.0355242596524295,0.014479652122445204,0.007816341480613585
2.95,0.013658228944341053,0.03968828616028199,0.04554694328980661,0.02844356651136672,0.022159596263923415
3.0,0.04165386339952741,0.0492834807940713,0.05552316993687931,0.04657391517832859,0.04389953760560609
3.0500000000000003,0.07097769474430277,0.05097038831742049,0.06235239023136748,0.06242375298107184,0.06057997557583022
3.1,0.07576545172592822,0.05545441379033445,0.0654754866840241,0.06851813090902518,0.06652538154745982
3.1500000000000004,0.061712060184918774,0.07120353380788617,0.06632043043944026,0.06716061421806535,0.06446868946259983
3.2,0.05288234107648996,0.06885191061921006,0.0701998912207622,0.07195195424859398,0.06680630058520387
3.25,0.07362806015832961,0.07119368476105742,0.07084266452911642,0.07959475938758877,0.08125406951410588
3.3000000000000003,0.11062945638565858,0.06936644160049033,0.07017740363333554,0.09411574696909686,0.10129989825927593
3.35,0.126355681883325,0.06607682216919748,0.0671571121430325,0.10081237764780707,0.10909483604435603
3.4000000000000004,0.10796239487610117,0.05785738070481614,0.05853355349007943,0.09152218334315147,0.10167980809186591
3.45,0.07998102497305343,0.05026980253278204,0.053334261765664935,0.07664589359401738,0.08166118074109933
3.5,0.056358314348558064,0.041527172243467005,0.042394503479282496,0.056931836108882965,0.05924541568410626
3.5500000000000003,0.040494063447594535,0.03186586455544883,0.032221527985797936,0.041803995478839645,0.0423154876073009
3.6,0.029247482461631544,0.026767917544004666,0.02554597699935951,0.02942950474408642,0.03062174564975367
3.6500000000000004,0.02234573887277979,0.023624536353667507,0.01967507404962273,0.02145906398794456,0.021357187039412754
3.7,0.01557162462884969,0.017884747049654023,0.0152300247299207,0.015029894835866628,0.01533732998299114
3.75,0.007858682483086058,0.015635609993010984,0.012446955894323614,0.010559474871883764,0.009804592961236654
3.8000000000000003,0.0033984688886722235,0.013932917210386558,0.011094428472304864,0.0067876819002335755,0.005636993336355362
3.85,0.001181812335074028,0.012326906413440232,0.009791353888455092,0.003645625282152751,0.0028080975967848193
3.9000000000000004,0.0002732611764866733,0.011960016631393637,0.009041998901974628,0.0018391436188395125,0.0009651191618975714
3.95,4.928363126999716e-05,0.011442266363018233,0.008648161910988408,0.0014521897923311406,0.0003325674800593889
4.0,7.582198944506808e-06,0.010725145903427545,0.008699658635704856,0.0014068351619476835,0.0001284883627467982
4.050000000000001,1.5354381190221877e-05,0.010283967821535343,0.008952308647492994,0.0014435968141501047,0.00016371354191941763
4.1,4.51944522991525e-05,0.011115537619360403,0.008880407650112594,0.001784910338313726,0.0004809449302857915
4.15,0.0002718258465202635,0.011392336009167496,0.009440021592791541,0.0027297616749329076,0.0011692993377880306
4.2,0.0010051771982537005,0.011696119086455929,0.009811275992030497,0.003934211834242378,0.0025525894543995888
4.25,0.0030009055738617124,0.011502200311303381,0.010753611202325802,0.0058772454229038505,0.004443819323704873
4.300000000000001,0.006348076383653101,0.01270283422458833,0.011734221889213253,0.008629206926244106,0.007574389196450857
4.35,0.011916719030606945,0.012578380939940157,0.013624915065270624,0.01232412074513673,0.011788323169449342
4.4,0.01794033258187038,0.013665174489044722,0.014172159054639265,0.015720457612105478,0.016973510278620534
4.45,0.023634956814641582,0.014419048102110867,0.015316933680047912,0.020102199431313094,0.02161491856429797
4.5,0.0287260960810401,0.015231075536386161,0.01653588109931939,0.022558668195609474,0.02437596583232076
4.55,0.026893904090814873,0.015081298582279449,0.016358044231983403,0.023943166747817147,0.025249813327963024
